object_id,R.A.,Dec.,specz,zcmodel_mag,tract,patch,layer,num_class,galaxy_type,interaction,ring,fan,tailm,distortion,label1
43730347690584702,343.59856426,2.44226511,0.1818219,16.7413,9943,405,wide,47,0.50504,0.9233,0.903226,0.0,0.032258,0.064516,0
69564614630728860,216.53532805,42.79717811,0.09761628,15.8844,15817,506,wide,185,0.27475,0.81093,0.38172,0.268817,0.096774,0.252688,0
40040532696658753,178.35693605,-1.7029672,0.1326879,16.5263,9104,507,wide,66,0.95588,1.0,0.037037,0.024691,0.666667,0.271605,3
42661059747665140,342.90347649,0.30921781,0.1750481,16.9464,9700,2,wide,55,0.0,0.93449,0.086957,0.413043,0.130435,0.369565,1
42648024521935346,338.38175828,1.3117757,0.1507664,16.1721,9697,107,wide,55,0.21185,0.86997,0.785714,0.071429,0.071429,0.071429,0
41113522901382021,180.74935727,-0.0786572,0.1516144,16.9421,9348,408,wide,93,0.23608,1.0,0.033898,0.076271,0.440678,0.449153,2
41117899473057532,182.28678384,-0.9514689,0.1107846,16.6565,9349,403,wide,100,0.14504,0.81667,0.821918,0.082192,0.013699,0.082192,0
41223315150369068,217.97922464,-0.9504764,0.1217056,16.2908,9373,303,wide,68,0.99674,0.80443,0.020408,0.040816,0.55102,0.387755,3
42177845862104472,179.27800777,1.31508888,0.1308964,16.7609,9590,407,wide,99,0.55845,0.91963,0.116505,0.126214,0.300971,0.456311,2
41109511401926784,178.68447026,-1.1408234,0.1790556,16.5705,9347,702,wide,90,0.88071,0.86395,0.014085,0.070423,0.267606,0.647887,2
44191996545356170,140.09554164,3.46719711,0.1254533,16.727,10048,303,wide,82,0.55461,0.87377,0.044118,0.102941,0.338235,0.514706,2
41650599971812426,0.75503462,0.06077815,0.08943391,16.809,9470,800,wide,45,0.86236,0.88258,0.0,0.064516,0.387097,0.548387,2
41109262293825326,179.08787713,-0.02829096,0.1693009,16.6538,9347,508,wide,89,0.97793,1.0,0.040323,0.016129,0.580645,0.362903,3
70413433312403615,245.79346936,44.03893767,0.1330706,16.573,16010,505,wide,102,0.0,0.81269,0.041667,0.055556,0.347222,0.555556,2
42701196217056590,355.61420616,0.63266449,0.05960794,16.5718,9709,403,wide,48,0.9549,1.0,0.0,0.029851,0.597015,0.373134,3
42301270337285514,220.36489005,1.48748385,0.1291881,16.2676,9618,608,wide,65,0.83937,0.91592,0.044444,0.044444,0.222222,0.688889,2
42648836270751307,337.20736702,0.73869322,0.08573124,16.3508,9697,704,wide,53,1.0,1.0,0.029412,0.029412,0.558824,0.382353,3
42705315090690637,357.33515465,0.37091052,0.07023039,16.6548,9710,202,wide,51,0.99286,0.88033,0.0,0.0,0.804878,0.195122,3
42164355369821090,175.14835385,0.30693764,0.1061496,15.8519,9587,202,wide,116,0.0488,0.84098,0.066667,0.466667,0.114286,0.352381,1
42710267187981641,358.15360385,0.5726959,0.1875116,16.8735,9711,603,wide,51,0.69275,1.0,0.018519,0.018519,0.574074,0.388889,3
42195158875263119,185.56239934,1.03814681,0.185263,16.7497,9594,206,wide,91,0.97029,1.0,0.0,0.009434,0.650943,0.339623,3
